id;respid;extrtime;origin;destination;company;depdate;arrdate;duration;flighttype;price;stopover;stopovertime
1;46;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T19:20:00;2016-03-16T08:00:00;12,666666666666666;aller simple;97;1 escale;10h 20min à LYS
1;47;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T08:55:00;2016-03-15T17:20:00;8,416666666666666;aller simple;97;1 escale;6h 10min à LYS
1;48;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T08:55:00;2016-03-16T08:00:00;23,083333333333332;aller simple;97;1 escale;20h 50min à LYS
1;49;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T16:20:00;2016-03-16T08:00:00;15,666666666666666;aller simple;97;1 escale;13h 25min à LYS
1;50;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T21:50:00;2016-03-16T14:20:00;16,5;aller simple;97;1 escale;13h 40min à NCE
1;51;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T15:45:00;2016-03-15T21:55:00;6,166666666666667;aller simple;98;1 escale;3h 50min à TLS
1;52;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T13:10:00;2016-03-15T21:55:00;8,75;aller simple;98;1 escale;6h 25min à TLS
1;53;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T07:20:00;2016-03-15T21:55:00;14,583333333333334;aller simple;98;1 escale;12h 15min à TLS
1;54;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T16:15:00;2016-03-15T21:55:00;5,666666666666667;aller simple;101;1 escale;3h 30min à TLS
1;55;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T15:45:00;2016-03-15T21:55:00;6,166666666666667;aller simple;101;1 escale;4h 00min à TLS
1;56;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T06:50:00;2016-03-15T21:55:00;15,083333333333334;aller simple;101;1 escale;12h 55min à TLS
1;57;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T08:20:00;2016-03-15T18:25:00;10,083333333333334;aller simple;101;1 escale;7h 30min à MRS
1;58;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T08:20:00;2016-03-15T22:30:00;14,166666666666666;aller simple;101;1 escale;11h 35min à MRS
1;59;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T16:45:00;2016-03-15T21:05:00;4,333333333333333;aller simple;104;1 escale;1h 50min à MPL
1;60;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T14:50:00;2016-03-15T21:05:00;6,25;aller simple;104;1 escale;3h 45min à MPL
1;61;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T12:55:00;2016-03-15T21:05:00;8,166666666666666;aller simple;104;1 escale;5h 40min à MPL
1;62;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T11:35:00;2016-03-15T21:05:00;9,5;aller simple;104;1 escale;7h 00min à MPL
1;63;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T07:00:00;2016-03-15T21:05:00;14,083333333333334;aller simple;104;1 escale;11h 35min à MPL
1;64;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T21:20:00;2016-03-16T21:05:00;23,75;aller simple;105;1 escale;21h 10min à MPL
1;65;15/01/2016 10:12:21;CDG;NTE;Air France-HOP!;2016-03-15T08:40:00;2016-03-15T21:05:00;12,416666666666666;aller simple;105;1 escale;9h 50min à MPL
1;66;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T11:05:00;2016-03-15T15:35:00;4,5;aller simple;107;1 escale;2h 40min à BOD
1;67;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T16:05:00;2016-03-16T07:55:00;15,833333333333334;aller simple;107;1 escale;14h 00min à BOD
1;68;15/01/2016 10:12:21;ORY;NTE;Air France-HOP!;2016-03-15T12:45:00;2016-03-15T15:35:00;2,8333333333333335;aller simple;107;1 escale;1h 00min à BOD
